brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km
audi,Audi A4,white,01 01 2023,2023,45790,150,204,Automatic,Petrol,5.7,130,2000
audi,Audi A6,silver,01 02 2015,2015,20950,176,239,Automatic,Diesel,5.9,156,141000
ford,Ford Galaxy,black,01 12 2017,2017,32500,176,239,Automatic,Petrol,7.9,180,47706
bmw,BMW 325,grey,01 03 2008,2008,8990,160,218,Manual,Petrol,8.1,189,172000
ford,Ford Kuga,white,01 02 2021,2021,33333,165,224,Automatic,Hybrid,1.2,26,20527
audi,Audi Q3,silver,01 12 2017,2017,22950,110,150,Manual,Petrol,5.5,127,16500
kia,Kia Stinger,white,01 10 2017,2017,29900,272,370,Automatic,Petrol,10.6,244,107000
audi,Audi Q3,grey,01 07 2019,2019,33400,140,190,Automatic,Diesel,5.6,148,68500
ford,Ford Kuga,silver,01 09 2022,2022,39880,165,224,Automatic,Hybrid,1.4,31,1546
kia,Kia Sorento,black,01 02 2018,2018,31000,147,200,Automatic,Diesel,6.5,0,92214
ford,Ford Transit Courier,black,01 12 2018,2018,12450,74,101,Manual,Petrol,7,156,69700
audi,Audi A6,black,01 10 2009,2009,4500,140,190,Automatic,Diesel,6.5,172,280000
hyundai,Hyundai TUCSON,grey,01 12 2015,2015,19990,130,177,Automatic,Petrol,7.6,180,95501
ford,Ford Fiesta,red,01 06 2019,2019,19450,74,101,Automatic,Petrol,5.5,122,53500
fiat,Fiat 500C,black,01 01 2012,2012,6500,51,69,Manual,Petrol,5.1,119,87000
kia,Kia Ceed SW   cee d SW,silver,01 02 2019,2019,18600,103,140,Automatic,Petrol,5.5,125,79800
kia,Kia Ceed SW   cee d SW,red,01 04 2023,2023,39990,104,141,Automatic,Hybrid,1.1,30,15
audi,Audi A5,black,01 09 2007,2007,7500,176,239,Manual,Diesel,6.6,173,262000
audi,Audi A1,red,01 09 2015,2015,15970,85,116,Automatic,Diesel,4,106,45000
mazda,Mazda CX 5,red,01 09 2018,2018,25950,143,194,Automatic,Petrol,8.4,192,52300
bmw,BMW 520,black,01 12 2011,2011,10500,135,184,Automatic,Diesel,4.9,129,223150
bmw,BMW 530,white,01 01 2020,2020,32880,135,184,Automatic,Petrol,2.1,40,79000
dacia,Dacia Lodgy,black,01 07 2015,2015,8700,85,116,Manual,Petrol,5.5,124,110000
bmw,BMW 420,black,01 02 2014,2014,18800,135,184,Manual,Diesel,4.7,124,119299
bmw,BMW 520,black,01 01 2008,2008,7250,125,170,Manual,Petrol,6.9,166,191200
ford,Ford S Max,silver,01 05 2020,2020,17990,110,150,Unknown,Diesel,5.2,138,156000
ford,Ford EcoSport,white,01 08 2014,2014,12980,92,125,Manual,Petrol,5.4,125,51400
audi,Audi A3,black,01 10 2006,2006,5799,77,105,Manual,Diesel,5,134,187300
ford,Ford Focus,black,01 08 2014,2014,9750,92,125,Manual,Petrol,5.1,117,103150
ford,Ford Focus,blue,01 09 2020,2020,25990,110,150,Manual,Diesel,4.8,126,58963
audi,Audi A3,grey,01 10 2016,2016,16950,81,110,Manual,Petrol,3.6,98,82880
audi,Audi S5,grey,01 02 2011,2011,16999,245,333,Automatic,Petrol,9.7,224,156650
fiat,Fiat Scudo,white,01 10 2015,2015,10990,94,128,Manual,Diesel,6.8,180,113612
bmw,BMW X6,black,01 05 2020,2020,89890,390,530,Automatic,Petrol,10.4,237,51351
audi,Audi A3,red,01 09 2022,2022,35079,81,110,Automatic,Petrol,4.3,99,6131
hyundai,Hyundai i30,red,01 05 2023,2023,37750,206,280,Automatic,Petrol,8.7,191,3500
land rover,Land Rover Range Rover Evoque,black,01 05 2015,2015,16290,140,190,Manual,Diesel,5.7,149,181000
citroen,Citroen C3,white,01 11 2018,2018,14490,81,110,Manual,Petrol,4.7,107,60000
bmw,BMW Z4,red,01 05 2019,2019,47840,250,340,Automatic,Petrol,7.4,168,50506
ford,Ford S Max,white,01 02 2018,2018,15424,132,179,Automatic,Diesel,5.2,134,140490
audi,Audi A5,blue,01 05 2023,2023,73880,195,265,Automatic,Petrol,7.9,178,3000
bmw,BMW X3,white,01 12 2015,2015,17900,140,190,Manual,Diesel,5.2,142,183499
kia,Kia Sportage,white,01 07 2017,2017,27500,136,185,Automatic,Diesel,6.3,166,49000
ford,Ford Kuga,grey,01 03 2017,2017,25990,110,150,Manual,Petrol,7.2,164,93000
bmw,BMW 116,grey,01 09 2019,2019,22150,85,116,Manual,Diesel,4.2,110,55400
bmw,BMW X3,blue,01 05 2010,2010,11900,130,177,Automatic,Diesel,7,185,182000
ford,Ford Galaxy,silver,01 12 2018,2018,27999,140,190,Automatic,Diesel,5.2,137,100000
bmw,BMW 535,black,01 01 2014,2014,22999,230,313,Automatic,Diesel,5.9,156,139400
hyundai,Hyundai TUCSON,green,01 02 2019,2019,22930,130,177,Manual,Petrol,7.9,199,72024
mazda,Mazda MX 5,red,01 06 2016,2016,21400,118,160,Manual,Petrol,6.9,161,39963
audi,Audi SQ5,blue,01 01 2017,2017,32449,240,326,Automatic,Diesel,6.6,0,125000
bmw,BMW 218,silver,01 11 2021,2021,26944,100,136,Manual,Petrol,6.3,144,17657
audi,Audi A8,grey,01 05 2023,2023,118850,210,286,Automatic,Diesel,7.3,192,1500
bmw,BMW 216,white,01 02 2019,2019,18590,85,116,Manual,Diesel,4.4,116,39990
bmw,BMW 320,black,01 07 2014,2014,14500,135,184,Automatic,Diesel,5.1,0,227000
ford,Ford Fiesta,white,01 10 2012,2012,10999,60,82,Unknown,Petrol,5.7,135,86000
dodge,Dodge RAM,grey,01 06 2018,2018,42990,295,401,Automatic,Petrol,14.3,328,99800
audi,Audi A8,silver,01 11 2008,2008,15999,240,326,Automatic,Diesel,9.4,249,172000
bmw,BMW 125,black,01 10 2014,2014,13900,160,218,Automatic,Diesel,4.9,130,170000
bmw,BMW 220,white,01 09 2017,2017,22400,140,190,Manual,Diesel,4.4,115,58650
kia,Kia Picanto,yellow,01 02 2023,2023,13990,49,67,Manual,Petrol,5.2,118,10
citroen,Citroen Jumpy,grey,01 02 2020,2020,35000,90,122,Manual,Diesel,5.3,0,55000
dacia,Dacia Sandero,silver,01 03 2023,2023,13880,74,101,Manual,LPG,5.4,123,10
audi,Audi A6,silver,01 09 2008,2008,3400,132,179,Manual,Diesel,7.2,0,307788
bmw,BMW 218,blue,01 09 2016,2016,13299,100,136,Manual,Petrol,5.3,126,147724
bmw,BMW 318,grey,01 10 2015,2015,17990,110,150,Manual,Diesel,4.3,112,84125
bmw,BMW X6,black,01 12 2012,2012,19250,225,306,Automatic,Diesel,7.5,0,254000
bmw,BMW 530,grey,01 05 2011,2011,21900,180,245,Automatic,Diesel,6.1,160,62500
bmw,BMW 320,grey,01 08 2011,2011,10990,135,184,Manual,Diesel,4.7,0,203000
jeep,Jeep Renegade,black,01 02 2017,2017,16800,103,140,Manual,Petrol,6,142,49800
jaguar,Jaguar E Pace,red,01 10 2021,2021,59900,147,200,Automatic,Petrol,8,182,21000
citroen,Citroen C4 Cactus,grey,01 08 2018,2018,14390,73,99,Manual,Diesel,4,97,45563
land rover,Land Rover Discovery,white,01 05 2015,2015,18999,140,190,Automatic,Diesel,6.1,162,177728
fiat,Fiat 500X,blue,01 10 2022,2022,26990,96,131,Automatic,Petrol,5.9,149,0
bmw,BMW 750,grey,01 11 2017,2017,45880,294,400,Automatic,Diesel,5.7,149,124176
audi,Audi A4,silver,01 03 2003,2003,1900,96,131,Manual,Diesel,5.7,154,348000
maserati,Maserati Levante,grey,01 01 2018,2018,60990,202,275,Automatic,Diesel,7.2,189,46164
ford,Ford Galaxy,grey,01 10 2002,2002,1250,85,116,Manual,Diesel,7.8,211,319950
citroen,Citroen C3,black,01 01 2010,2010,4800,65,88,Manual,Petrol,6.2,148,143000
jaguar,Jaguar XE,black,01 01 2017,2017,13085,120,163,Automatic,Diesel,4.1,106,195678
mazda,Mazda 2,red,01 10 2018,2018,16820,85,116,Manual,Petrol,5.4,124,49000
bmw,BMW 335,silver,01 01 2007,2007,13900,225,306,Automatic,Petrol,9.6,231,199800
ford,Ford Focus,black,01 06 2019,2019,15990,88,120,Automatic,Diesel,4.2,110,116000
audi,Audi Q5,black,01 07 2010,2010,8650,176,239,Automatic,Diesel,7.5,199,425000
audi,Audi A4,grey,01 03 2020,2020,29990,140,190,Automatic,Petrol,6.6,150,52500
audi,Audi A4,grey,01 01 2018,2018,35990,110,150,Manual,Petrol,5.8,139,66000
hyundai,Hyundai i10,silver,01 07 2019,2019,10090,49,67,Manual,Petrol,4.7,128,65309
bmw,BMW 440,blue,01 11 2017,2017,36490,240,326,Automatic,Petrol,7.6,177,75000
audi,Audi A4,grey,01 05 2015,2015,19988,140,190,Automatic,Diesel,5.1,135,81000
audi,Audi A5,blue,01 06 2023,2023,72929,150,204,Automatic,Petrol,7.1,162.5,3500
audi,Audi A4,black,01 12 2013,2013,11485,130,177,Automatic,Diesel,4.8,127,186325
audi,Audi A1,yellow,01 09 2021,2021,29690,110,150,Automatic,Petrol,6.5,148.9,15000
bmw,BMW 118,black,01 11 2009,2009,8799,105,143,Manual,Petrol,7.5,143,85921
hyundai,Hyundai TUCSON,silver,01 05 2023,2023,42990,195,265,Automatic,Hybrid,1.4,31,15
audi,Audi Q7,black,01 04 2008,2008,13999,176,239,Automatic,Diesel,9.8,260,212788
audi,Audi A3,silver,01 07 2022,2022,31615,110,150,Automatic,Diesel,3.9,104,6481
bmw,BMW 318,grey,01 01 2008,2008,6000,132,179,Manual,Petrol,6.4,152,222000
audi,Audi A6,white,01 01 2013,2013,15950,130,177,Automatic,Diesel,5.1,0,236000
hyundai,Hyundai i20,black,01 06 2015,2015,11990,63,86,Manual,Petrol,4.9,114,109000
chevrolet,Chevrolet Camaro,red,01 05 2018,2018,42900,202,275,Automatic,Petrol,8.1,184,20800
audi,Audi A4,black,01 08 2005,2005,4299,96,131,Automatic,Petrol,7.9,0,174000
land rover,Land Rover Range Rover Sport,grey,01 03 2022,2022,142900,423,575,Automatic,Petrol,12.7,290,16150
ford,Ford Focus,black,01 03 2023,2023,32890,114,155,Automatic,Hybrid,5.4,121,25
land rover,Land Rover Range Rover,white,01 02 2014,2014,49950,250,340,Automatic,Diesel,8.7,229,99000
bmw,BMW 318,blue,01 01 2009,2009,6200,105,143,Manual,Petrol,6.3,0,159731
ford,Ford Focus,blue,01 04 2016,2016,15390,110,150,Manual,Petrol,5.6,133,79642
bmw,BMW 116,silver,01 12 2007,2007,2700,90,122,Manual,Petrol,5.8,139,200000
fiat,Fiat 500,black,01 06 2020,2020,14980,51,69,Manual,Petrol,5.5,126,19700
hyundai,Hyundai STARIA,white,01 03 2023,2023,48900,130,177,Automatic,Diesel,8.9,232,9900
citroen,Citroen C5 X,white,01 04 2022,2022,36900,165,224,Automatic,Hybrid,1.3,29,14900
bmw,BMW 320,black,01 03 2013,2013,16999,135,184,Automatic,Diesel,4.6,120,165000
bmw,BMW 120,black,01 03 2009,2009,3700,130,177,Manual,Diesel,4.7,0,372500
ferrari,Ferrari F430,grey,01 04 2009,2009,129900,360,489,Semi automatic,Petrol,18.3,420,48000
audi,Audi RS3,black,01 04 2023,2023,66880,294,400,Automatic,Petrol,9,205,5000
kia,Kia XCeed,yellow,01 06 2021,2021,27990,150,204,Automatic,Petrol,7.1,161,20062
audi,Audi Q3,silver,01 03 2023,2023,56490,110,150,Automatic,Petrol,5.8,133,2000
land rover,Land Rover Range Rover Sport,white,01 05 2019,2019,63900,183,249,Automatic,Diesel,7.5,198,65129
bmw,BMW 218,black,01 06 2016,2016,14250,100,136,Manual,Petrol,5.3,126,73641
bmw,BMW 530,grey,01 09 2007,2007,8300,173,235,Automatic,Diesel,7.2,192,275000
ford,Ford Fiesta,grey,01 04 2004,2004,2500,59,80,Manual,Petrol,6.5,0,135000
ford,Ford Fiesta,silver,01 03 2019,2019,12999,74,101,Manual,Petrol,5.1,110,148000
bmw,BMW 320,silver,01 06 2019,2019,26100,140,190,Automatic,Diesel,4.1,109,55800
mazda,Mazda CX 3,black,01 05 2017,2017,19900,77,105,Automatic,Diesel,5.2,136,59500
bentley,Bentley Continental GT,green,01 02 2023,2023,285450,405,551,Automatic,Petrol,11.3,263,4000
bmw,BMW 116,grey,01 01 2007,2007,5700,85,116,Manual,Petrol,7.5,180,135000
fiat,Fiat Tipo,white,01 06 2018,2018,15990,88,120,Manual,Petrol,7.1,0,43464
bmw,BMW M3,silver,01 05 2012,2012,139000,331,450,Automatic,Petrol,12.4,290,46000
kia,Kia Picanto,beige,01 04 2023,2023,14900,49,67,Manual,Petrol,4.9,110,50
audi,Audi A4,black,01 02 2018,2018,29850,110,150,Manual,Petrol,5.8,139,50000
bmw,BMW 320,blue,01 05 2007,2007,6950,125,170,Manual,Petrol,6.7,154,221120
bmw,BMW 325,black,01 07 2009,2009,22980,160,218,Automatic,Petrol,8.1,195,134000
audi,Audi A3,grey,01 04 2013,2013,13600,90,122,Manual,Petrol,5.3,0,104000
ford,Ford C Max,brown,01 12 2013,2013,11499,103,140,Automatic,Diesel,5.1,135,100217
hyundai,Hyundai i30,white,01 09 2017,2017,14790,103,140,Manual,Petrol,5.4,124,111715
bmw,BMW 650,black,01 06 2015,2015,24990,330,449,Automatic,Petrol,9.2,218,214000
audi,Audi A3,grey,01 11 2013,2013,16450,90,122,Automatic,Petrol,0,0,93900
audi,Audi A6,black,01 08 2009,2009,12490,213,290,Automatic,Petrol,9.4,219,196900
ford,Ford EcoSport,blue,01 03 2016,2016,11750,92,125,Manual,Petrol,5.3,125,92937
dodge,Dodge RAM,red,01 12 2022,2022,62000,295,401,Automatic,LPG,14.1,368,10
citroen,Citroen Jumpy,white,01 05 2015,2015,15875,94,128,Manual,Diesel,6.4,168,135042
dacia,Dacia Logan,blue,01 08 2016,2016,9999,66,90,Manual,Petrol,4.9,0,139800
kia,Kia Sportage,silver,01 05 2018,2018,28990,136,185,Automatic,Diesel,6.3,166,49500
bmw,BMW 320,white,01 06 2012,2012,15900,135,184,Automatic,Diesel,4.5,0,142000
audi,Audi A6,blue,01 11 2016,2016,19950,140,190,Automatic,Diesel,4.7,122,109529
ford,Ford Fiesta,white,01 06 2009,2009,2900,44,60,Manual,Petrol,5.4,0,145000
ford,Ford Focus,grey,01 08 2008,2008,5450,80,109,Manual,Diesel,4.5,119,168000
audi,Audi RS4,blue,01 10 2014,2014,38000,331,450,Automatic,Petrol,10.7,249,105000
ford,Ford S Max,black,01 09 2017,2017,19990,110,150,Manual,Diesel,5.4,139,104551
audi,Audi A3,grey,01 02 2014,2014,13888,90,122,Manual,Petrol,5.3,123,129675
hyundai,Hyundai KONA,white,01 12 2018,2018,20800,88,120,Manual,Petrol,5.5,125,9800
citroen,Citroen Jumper,grey,01 04 2017,2017,18990,81,110,Manual,Diesel,6,158,91280
mazda,Mazda CX 3,grey,01 11 2018,2018,17500,89,121,Manual,Petrol,6.2,0,59000
bmw,BMW X3,black,01 08 2012,2012,13990,135,184,Automatic,Diesel,5.6,0,185000
audi,Audi A3,blue,01 03 2000,2000,2700,74,101,Manual,Petrol,7.4,0,153000
ford,Ford Fusion,black,01 10 2006,2006,2999,59,80,Manual,Petrol,6.6,156,159500
audi,Audi Q7,black,01 05 2017,2017,53450,200,272,Automatic,Diesel,6.2,163,83177
bmw,BMW 116,grey,01 06 2005,2005,3490,85,116,Manual,Petrol,7.5,0,246000
citroen,Citroen Berlingo,black,01 02 2023,2023,32190,96,131,Automatic,Petrol,5.4,124,20
audi,Audi A3,silver,01 07 2017,2017,18999,110,150,Automatic,Diesel,4.5,0,117500
kia,Kia Sportage,grey,01 05 2015,2015,14990,100,136,Automatic,Diesel,7,183,103900
land rover,Land Rover Range Rover Velar,grey,01 10 2019,2019,61500,221,300,Automatic,Petrol,8.2,185,57500
audi,Audi A3,white,01 05 2014,2014,14850,110,150,Automatic,Diesel,4.5,119,125000
bmw,BMW 220,black,01 10 2015,2015,14999,140,190,Automatic,Diesel,4.5,119,142527
citroen,Citroen C5 Aircross,black,01 04 2020,2020,28990,130,177,Automatic,Diesel,4.9,175,91300
bmw,BMW 220,white,01 07 2016,2016,21790,141,192,Automatic,Petrol,5.6,130,55486
bmw,BMW 118,black,01 04 2012,2012,8350,105,143,Manual,Petrol,6.1,143,136169
ford,Ford Kuga,white,01 04 2013,2013,10950,103,140,Manual,Diesel,5.3,140,194000
ford,Ford Focus,red,01 05 2012,2012,5985,120,163,Manual,Diesel,4.9,130,191000
hyundai,Hyundai TUCSON,blue,01 02 2021,2021,19688,97,132,Manual,Petrol,6.9,177,47061
jaguar,Jaguar E Pace,white,01 04 2020,2020,26799,110,150,Automatic,Diesel,6,158,53017
audi,Audi TT,red,01 06 2019,2019,40820,180,245,Automatic,Petrol,7,161,36186
kia,Kia Sportage,grey,01 02 2019,2019,21499,97,132,Manual,Petrol,6.9,0,22300
ford,Ford Focus,black,01 09 2014,2014,5850,92,125,Manual,Petrol,4.9,117,153274
bmw,BMW X6,black,01 04 2010,2010,20000,210,286,Automatic,Diesel,8.3,0,236000
hyundai,Hyundai i20,grey,01 11 2019,2019,13990,62,84,Manual,Petrol,5.8,132,35769
cadillac,Cadillac SRX,grey,01 08 2006,2006,8700,190,258,Automatic,Petrol,13,310,170000
audi,Audi A4,silver,01 07 2021,2021,43830,100,136,Automatic,Diesel,4.1,109,27642
jeep,Jeep Renegade,grey,01 02 2023,2023,46840,177,241,Automatic,Hybrid,2,46,10
hyundai,Hyundai TUCSON,silver,01 04 2023,2023,39650,132,179,Automatic,Hybrid,4.8,109,1000
ford,Ford S Max,black,01 10 2016,2016,23686,132,179,Manual,Diesel,5,129,79522
land rover,Land Rover Discovery Sport,black,01 01 2019,2019,29490,110,150,Automatic,Diesel,6.4,169,75800
ford,Ford Fiesta,green,01 04 2019,2019,13380,52,71,Unknown,Petrol,4.7,107,38700
bmw,BMW Z4,grey,01 07 2011,2011,25000,150,204,Manual,Petrol,9.2,215,59300
alfa romeo,Alfa Romeo Stelvio,red,01 05 2019,2019,31880,147,200,Automatic,Petrol,8,187,25866
hyundai,Hyundai i30,black,01 09 2009,2009,5490,77,105,Manual,Petrol,6.3,150,137070
bmw,BMW 530,blue,01 03 2018,2018,37990,195,265,Automatic,Diesel,5.2,137,84950
dacia,Dacia Lodgy,grey,01 09 2018,2018,10890,75,102,Manual,Petrol,6.7,152,70000
bmw,BMW 325,grey,01 09 2007,2007,11499,160,218,Automatic,Petrol,9.2,222,166923
audi,Audi A3,black,01 04 2014,2014,12500,77,105,Manual,Diesel,3.8,0,95200
land rover,Land Rover Defender,black,01 10 2022,2022,132900,386,525,Automatic,Petrol,15.1,340,6250
audi,Audi A3,white,01 08 2022,2022,42790,180,245,Automatic,Hybrid,1.6,37,6200
hyundai,Hyundai iX35,silver,01 07 2015,2015,14990,100,136,Automatic,Diesel,6.8,179,78000
bmw,BMW 320,blue,01 08 2007,2007,12649,125,170,Manual,Petrol,6.9,164,125000
fiat,Fiat 500,grey,01 03 2021,2021,15590,51,69,Manual,Petrol,4.1,93,8500
fiat,Fiat 500X,grey,01 02 2021,2021,20990,88,120,Manual,Petrol,5.9,135,41200
audi,Audi A5,black,01 03 2019,2019,75970,140,190,Automatic,Petrol,7.1,161.9,71900
dacia,Dacia Duster,blue,01 10 2016,2016,12590,84,114,Manual,Petrol,6.4,145,44450
bmw,BMW 630,black,01 09 2009,2009,21500,200,272,Automatic,Petrol,9.5,226,100000
citroen,Citroen C4 Aircross,grey,01 07 2014,2014,10990,110,150,Manual,Diesel,5.6,148,129732
hyundai,Hyundai i10,brown,01 12 2015,2015,6900,51,69,Manual,LPG,5.1,0,124000
bmw,BMW 425,white,01 09 2016,2016,26500,165,224,Automatic,Diesel,4.8,0,106516
ford,Ford Focus,white,01 11 2020,2020,20990,88,120,Manual,Diesel,4.5,118,58566
ford,Ford Mustang,red,01 10 2017,2017,38400,310,421,Automatic,Petrol,12.8,289,17120
ford,Ford Fiesta,black,01 06 2009,2009,4800,44,60,Manual,Petrol,5.5,127,113000
audi,Audi A1,white,01 05 2015,2015,11950,63,86,Manual,Petrol,5.1,121,63000
bmw,BMW 530,red,01 10 2021,2021,68450,215,292,Automatic,Hybrid,2.4,54,6958
ford,Ford Kuga,grey,01 12 2017,2017,22555,110,150,Manual,Petrol,5.2,135,56622
ford,Ford EcoSport,red,01 01 2023,2023,23990,92,125,Manual,Petrol,5,114,0
bmw,BMW 118,grey,01 05 2011,2011,8900,105,143,Automatic,Petrol,6.6,154,113000
land rover,Land Rover Range Rover Sport,white,01 08 2018,2018,44990,177,241,Automatic,Diesel,6.5,172,72322
ford,Ford Mondeo,red,01 07 2021,2021,32840,110,150,Manual,Diesel,4.6,121,26339
ford,Ford Fiesta,black,01 12 2017,2017,22450,63,86,Manual,Petrol,4.7,107,63780
audi,Audi A3,black,01 08 2019,2019,16599,85,116,Manual,Petrol,6.3,143,89800
audi,Audi A6,grey,01 06 2008,2008,6990,125,170,Manual,Petrol,8.2,197,170200
hyundai,Hyundai i30,blue,01 12 2012,2012,9990,73,99,Manual,Petrol,6,139,99999
bmw,BMW 525,blue,01 11 2007,2007,8250,173,235,Manual,Diesel,6.7,179,214990
ford,Ford EcoSport,grey,01 02 2020,2020,19450,103,140,Manual,Petrol,5.4,121,43200
daihatsu,Daihatsu Terios,red,01 02 2009,2009,3900,77,105,Manual,Petrol,7.9,186,123400
bmw,BMW 420,grey,01 04 2019,2019,28420,135,184,Automatic,Petrol,6.1,139,50000
audi,Audi A3,white,01 01 2021,2021,24740,81,110,Manual,Petrol,5.3,121,41900
bmw,BMW M5,white,01 07 2015,2015,40900,423,575,Automatic,Petrol,9.9,235,118000
bmw,BMW 540,grey,01 08 2018,2018,40900,250,340,Automatic,Petrol,6.5,0,50800
audi,Audi A3,white,01 03 2014,2014,14803,90,122,Manual,Petrol,5.2,123,20682
bmw,BMW X1,grey,01 07 2017,2017,24950,140,190,Automatic,Diesel,4.9,129,99300
fiat,Fiat Panda,white,01 10 2011,2011,3800,51,69,Manual,Petrol,4.9,0,123669
fiat,Fiat 500,red,01 03 2019,2019,13990,51,69,Manual,Petrol,5.3,123,9700
audi,Audi A6,blue,01 07 2020,2020,28900,120,163,Automatic,Diesel,4.5,117,53000
audi,Audi A3,grey,01 05 2013,2013,14990,110,150,Automatic,Diesel,4.5,119,124850
land rover,Land Rover Discovery Sport,grey,01 01 2022,2022,49950,147,200,Automatic,Hybrid,2,48,17000
land rover,Land Rover Range Rover,grey,01 05 2021,2021,105995,258,351,Automatic,Diesel,8.5,225,49987
audi,Audi S4,grey,01 03 2009,2009,22490,245,333,Automatic,Petrol,9.7,224,129841
lamborghini,Lamborghini Aventador,yellow,01 03 2021,2021,690000,566,770,Automatic,Petrol,19.6,452,2850
ford,Ford Focus,white,01 10 2015,2015,18000,184,250,Manual,Petrol,6.8,159,83000
bmw,BMW X3,white,01 05 2017,2017,29980,230,313,Automatic,Diesel,6,157,105950
lancia,Lancia Lybra,grey,01 02 2002,2002,650,110,150,Manual,Petrol,9.8,232,194000
dacia,Dacia Sandero,white,01 03 2017,2017,9900,66,90,Manual,Petrol,4.9,0,20000
ford,Ford Focus,silver,01 12 2018,2018,16990,92,125,Manual,Petrol,4.8,114,72400
bmw,BMW 318,black,01 11 2017,2017,17500,110,150,Automatic,Diesel,4.3,112,136000
audi,Audi A6,blue,01 07 2015,2015,15200,160,218,Automatic,Diesel,4.6,119,242000
dacia,Dacia Sandero,white,01 05 2020,2020,11990,74,101,Manual,LPG,5.3,121,21002
bmw,BMW 318,black,01 12 2004,2004,4300,105,143,Manual,Petrol,7.4,0,157000
ford,Ford Ranger,grey,01 02 2017,2017,27900,147,200,Automatic,Diesel,8.7,228,130000
ferrari,Ferrari 488,blue,01 01 2020,2020,439900,530,721,Automatic,Petrol,11.5,263,6935
audi,Audi Q2,orange,01 03 2019,2019,22879,85,116,Manual,Diesel,4.7,122,43699
fiat,Fiat Panda,grey,01 09 2016,2016,9490,51,69,Manual,Petrol,5.2,123,52500
hyundai,Hyundai i20,blue,01 03 2021,2021,19990,74,101,Manual,Petrol,4.4,100,8521
audi,Audi A5,silver,01 02 2018,2018,39990,160,218,Automatic,Diesel,5.2,137,36718
bmw,BMW 420,black,01 12 2015,2015,19950,140,190,Manual,Diesel,4.2,111,109000
bmw,BMW 135,blue,01 11 2020,2020,43770,225,306,Automatic,Petrol,6.7,155,8645
jeep,Jeep Renegade,white,01 06 2019,2019,15800,125,170,Automatic,Petrol,6.9,160,41800
ford,Ford Edge,grey,01 08 2018,2018,28990,154,209,Automatic,Diesel,5.8,154,64260
audi,Audi A5,black,01 10 2013,2013,17950,125,170,Manual,Petrol,5.8,137,67223
ford,Ford Mustang,red,01 05 2018,2018,39999,331,450,Manual,Petrol,12.4,277,25000
kia,Kia Rio,red,01 10 2018,2018,13000,62,84,Manual,Petrol,5.5,0,36900
audi,Audi A6,black,01 05 2002,2002,1900,125,170,Automatic,Petrol,9.9,238,194000
hyundai,Hyundai TUCSON,white,01 08 2020,2020,22860,130,177,Manual,Petrol,0,0,21600
ford,Ford Puma,white,01 06 2023,2023,26590,92,125,Manual,Hybrid,6.6,149,20
audi,Audi SQ5,black,01 09 2013,2013,21985,230,313,Automatic,Diesel,6.8,180,150000
jeep,Jeep Compass,black,01 06 2018,2018,22900,103,140,Manual,Diesel,5.2,0,83500
ford,Ford Transit Custom,blue,01 05 2015,2015,12200,74,101,Manual,Diesel,7,186,113000
dacia,Dacia Dokker,blue,01 01 2018,2018,15750,85,116,Manual,Petrol,5.7,130,59273
lada,Lada Vesta,orange,01 08 2018,2018,15990,78,106,Manual,Petrol,6.9,0,71579
bmw,BMW 220,grey,01 02 2018,2018,30700,135,184,Automatic,Petrol,6.4,0,38500
ford,Ford Fiesta,silver,01 06 2017,2017,9240,59,80,Manual,Petrol,4.3,99,101800
hyundai,Hyundai i30,red,01 01 2022,2022,18980,88,120,Manual,Petrol,4.8,108,34000
bmw,BMW 320,silver,01 10 2019,2019,33799,140,190,Automatic,Diesel,4.8,125,56870
bmw,BMW 118,blue,01 07 2009,2009,8490,105,143,Manual,Diesel,5.3,141,115000
ford,Ford Focus,silver,01 05 2004,2004,2650,74,101,Automatic,Petrol,8.4,200,199990
dacia,Dacia Sandero,blue,01 01 2009,2009,2300,55,75,Manual,Petrol,6.5,155,133000
audi,Audi A3,gold,01 03 2019,2019,23495,110,150,Manual,Petrol,5.3,120,33534
fiat,Fiat 500,white,01 08 2012,2012,9990,63,86,Manual,Petrol,4,95,28000
audi,Audi A3,white,01 08 2016,2016,20900,110,150,Manual,Diesel,4.4,111,100400
maserati,Maserati GranTurismo,silver,01 07 2010,2010,49990,324,441,Automatic,Petrol,15.2,354,73669
bmw,BMW X6,black,01 01 2015,2015,37980,330,449,Automatic,Petrol,9.7,230,73630
citroen,Citroen C4,black,01 10 2016,2016,9999,81,110,Manual,Petrol,4.8,112,84900
mazda,Mazda 2,red,01 05 2011,2011,6500,62,84,Manual,Petrol,5.2,123,114250
ford,Ford Fiesta,silver,01 09 2007,2007,3399,51,69,Manual,Petrol,6.5,154,118000
bmw,BMW 750,black,01 12 2018,2018,57890,294,400,Automatic,Diesel,6.3,166,79817
kia,Kia Stonic,blue,01 04 2020,2020,15499,62,84,Manual,Petrol,5.8,0,38500
alfa romeo,Alfa Romeo 147,blue,01 10 2005,2005,10599,136,185,Manual,Petrol,12.1,287,126000
kia,Kia Sportage,black,01 12 2019,2019,25988,130,177,Automatic,Petrol,7.4,170,18500
hyundai,Hyundai KONA,red,01 10 2022,2022,23990,88,120,Manual,Petrol,6.1,137,100
audi,Audi A4,black,01 07 2014,2014,9900,125,170,Automatic,Petrol,6.1,145,142500
